,iter1,iter2,iter3
0,11271027.372070312,9538715.383789062,10902067.358398438
1,11265331.756835938,9533608.963867188,10901610.881835938
2,11251549.381835938,9530211.438476562,10900511.127929688
3,11247057.772460938,9518728.120117188,
4,11242036.309570312,9507716.202148438,
5,11239508.786132812,9505079.475585938,
6,,9504283.192382812,
7,,9502030.325195312,
8,,9497642.045898438,
9,,9493963.295898438,
10,,9490071.395507812,
11,,9483212.674804688,
12,,9478829.700195312,
13,,9475309.633789062,
14,,9467670.747070312,
15,,9462870.260742188,
16,,9458989.293945312,
17,,9453705.459960938,
18,,9448564.514648438,
19,,9445754.137695312,
20,,9444877.643554688,
21,,9442599.420898438,
22,,9441667.250976562,
23,,9440338.692382812,
24,,9438420.991210938,
25,,9436155.999023438,
26,,9432132.254882812,
27,,9429166.901367188,
28,,9425754.147460938,
29,,9422852.184570312,
30,,9419220.698242188,
31,,9416612.999023438,
32,,9416304.541992188,
33,,9415331.678710938,
34,,9414838.965820312,
35,,9413359.897460938,
36,,9412861.315429688,
37,,9406242.366210938,
38,,9400715.362304688,
39,,9399441.541992188,
40,,9395054.233398438,
41,,9392456.928710938,
42,,9390969.887695312,
43,,9388338.051757812,
44,,9385288.555664062,
45,,9382135.413085938,
46,,9379056.784179688,
47,,9377909.336914062,
48,,9374267.352539062,
49,,9370256.098632812,
50,,9365348.055664062,
51,,9362388.668945312,
52,,9357008.346679688,
53,,9350860.282226562,
54,,9346729.262695312,
55,,9341418.286132812,
56,,9339929.397460938,
57,,9330577.463867188,
58,,9327030.819335938,
59,,9322887.815429688,
60,,9318557.352539062,
61,,9313361.586914062,
62,,9313032.993164062,
63,,9304904.325195312,
64,,9298145.532226562,
65,,9294083.069335938,
66,,9293871.389648438,
67,,9289943.051757812,
68,,9288675.055664062,
69,,9286749.776367188,
70,,9285179.356445312,
71,,9283410.731445312,
72,,9282612.174804688,
73,,9282457.829101562,
74,,9280930.772460938,
75,,9277057.139648438,
76,,9274907.411132812,
77,,9271314.864257812,
78,,9267743.858398438,
79,,9266855.178710938,
80,,9259748.852539062,
81,,9259294.749023438,
82,,9256945.458007812,
83,,9255845.018554688,
84,,9250201.407226562,
85,,9247602.348632812,
86,,9246093.163085938,
87,,9244966.524414062,
88,,9239427.385742188,
89,,9238258.252929688,
90,,9236913.995117188,
91,,9236254.002929688,
92,,9236048.499023438,
93,,9234252.270507812,
94,,9229378.040039062,
95,,9224294.194335938,
96,,9219514.122070312,
97,,9217604.454101562,
98,,9214888.651367188,
99,,9212089.573242188,
100,,9212068.323242188,
101,,9211501.510742188,
102,,9206326.786132812,
103,,9204825.977539062,
104,,9202425.516601562,
105,,9200378.915039062,
106,,9198305.963867188,
107,,9197501.405273438,
108,,9196772.002929688,
109,,9189906.950195312,
110,,9189549.706054688,
111,,9183548.780273438,
112,,9182258.096679688,
113,,9181626.954101562,
